transaction_count,avg_send_amount,num_beneficiaries,frequency_variance,recency_days,segment
13,326.20530713741874,4,7.160895706063242,24,stable
2,112.65283693395841,4,85.890985535282,76,at_risk
1,114.89495457907637,4,57.70189642529162,73,at_risk
8,53.00338386769777,1,49.77274961778495,55,at_risk
26,584.2304115104956,3,71.5438988352234,3,active
1,106.17687661487894,3,59.43246846083065,67,at_risk
7,154.5648027841692,3,65.94320859740833,76,at_risk
9,478.8847003021165,1,46.51649617638387,2,stable
6,122.52212356286485,3,71.18459101804224,81,at_risk
19,334.58606630907354,6,16.744375511655985,2,active
16,438.7491067194719,0,71.38750807543565,1,active
37,1258.7906736847785,3,79.88206324471356,1,champion
46,848.8853265581965,3,48.389382941113126,1,champion
12,253.51752231674357,0,44.86208963335707,4,stable
13,373.4158732200911,2,95.5727301214193,10,stable
3,81.18923016879049,2,75.12679969383042,54,at_risk
2,101.508560314634,4,21.377624155828933,63,at_risk
5,478.52473790002466,2,88.55061854968164,18,stable
1,55.57104181157943,3,74.43242780713312,30,at_risk
17,450.0219030287506,0,64.19668327477676,23,stable
1,58.85891402481924,3,63.08562598174403,65,at_risk
40,1300.8683591651677,0,21.958785329949926,2,champion
48,1643.364398459446,2,1.429598860538428,1,champion
0,111.00028393211332,1,5.96812772992924,60,at_risk
31,1244.2078481428605,1,55.69498009469414,2,champion
10,353.9019212494624,5,34.71393774654222,27,stable
51,1684.228482411603,2,74.96255947512105,2,champion
4,71.67493513353061,2,56.643866992889535,81,at_risk
36,1611.9737033286517,1,24.451052118409024,2,champion
0,146.12882441445143,4,30.753869183685367,51,at_risk
3,246.8426831072644,3,56.88729392035915,20,stable
3,109.47164039084272,2,67.87288592453507,68,at_risk
7,440.12774394162113,6,27.62645896247683,1,stable
32,706.0139087454409,2,0.29494325995252924,2,champion
5,165.15590887067017,0,39.67952013252645,78,at_risk
18,724.2586171083516,0,37.74301867736908,2,active
7,137.95186647714232,5,34.17289232274284,61,at_risk
1,145.80897226725,3,85.58822602983341,31,at_risk
45,1113.4986452536227,0,23.987414467870195,2,champion
3,52.07695650865291,2,90.68397975749201,56,at_risk
16,295.84851559644954,1,56.35881469355368,13,stable
20,685.2321928042222,0,74.95032102919336,6,active
0,168.3515916648372,2,97.18030519489392,88,at_risk
5,53.14392424738523,5,10.010095978317434,53,at_risk
40,1272.392514511007,2,93.36262361987426,2,champion
