monthly_spending,transaction_count,avg_transaction_amount,spending_variance,merchant_diversity,segment,cat_groceries,cat_utilities,cat_transport,cat_entertainment,cat_other
1676.884089009385,23,72.90800386997326,318.1338653264754,14,balanced,0.06328154085189891,0.6058135000044165,0.24862089366890372,0.10620979483127622,0.5516696725507386
1627.6738642571263,8,203.4592330321408,81.21784623026052,7,frugal,0.14811276119418454,0.05367542012296491,0.12539925918909156,0.06957397327012597,0.00906697490945012
1507.636019304279,35,43.07531483726511,393.92316872101804,10,balanced,0.2582172126530469,0.05118157188062564,0.36599644411706106,0.14949423237567955,0.4235634706866897
1038.8852687927606,11,94.44411534479642,118.80561054580438,5,frugal,0.45834996374946296,0.01879226125845868,0.3607073180308342,0.23119849880556317,0.1411883130157834
8439.835690348416,46,183.47468892061775,1338.9958334188905,16,impulsive,0.04154971790669303,0.32974865993382224,0.21419536619536142,0.09742923853452953,0.04923509513245177
3592.076006491681,33,108.85078807550548,604.0229609902311,24,impulsive,0.12165955127121074,0.2778704149188535,0.07392454246146714,0.20614201844958305,0.5317609030248495
2203.0295921817524,43,51.233246329808196,1011.5322847582319,20,impulsive,0.42484031680477374,0.2062276719761701,0.007709386979369279,0.29173591623240963,0.03365291575239155
7686.943703597021,44,174.7032659908414,1382.6115819298798,16,impulsive,0.5922038893232636,0.1682525071536837,0.0595040611240335,0.345262101876838,0.13834320377400794
1271.456959001327,12,105.95474658344392,61.981337012729874,5,frugal,0.2826215042359745,0.1978790680202917,0.2909659120618705,0.334339532941038,0.017795541991336167
4431.710603751215,17,260.6888590441891,347.8170475569932,13,balanced,0.09727397049986625,0.3292680403370841,0.027761680373559007,0.23114191490591443,0.5427785080504987
3928.574759211119,26,151.09902920042765,314.45641760987456,12,balanced,0.5127188865104347,0.0853135040321383,0.5248689975133597,0.04086842168586962,0.051144671526074485
1248.2021252762843,8,156.02526565953553,64.29269923417226,7,frugal,0.045450756521409716,0.20428178509639983,0.14254055727014245,0.04393045372271873,0.10639621099921705
