monthly_income,transaction_count,avg_balance,credit_utilization,payment_history,debt_to_income,employment_length,num_credit_lines,num_inquiries,loan_amount,loan_term,interest_rate,credit_score,risk_category
4141.030557076731,24,1414.7306628897584,0.04330886683179899,0.898705363227106,0.22847179706336387,215,3,1,5338.37101395258,36,0.2119339325104815,850,excellent
2311.748130146209,25,2691.769876238436,0.16734075110481655,0.9897087499782578,0.21689727979474152,25,2,1,2701.7208435435978,36,0.2183369188633692,850,excellent
3013.1714682016805,12,2773.016504431616,0.14404344559692356,0.6222681937633845,0.12324168304238886,32,3,2,2904.071867144094,36,0.24177648016350564,791,excellent
2786.501654074199,18,1021.5628104572284,0.13984051473716275,0.5459064340194346,0.22350805607280813,199,2,1,10962.827633597197,36,0.20125277864313973,799,excellent
5591.689032617812,10,5693.626159283614,0.4865735303853018,0.7832763641398379,0.34070567725730433,81,0,2,825.5423361441009,24,0.1444056403899865,778,excellent
2961.629814646583,21,1527.7334056167806,0.4658637224643798,0.8685567673997707,0.17599353729351364,54,3,1,7926.345535403138,18,0.12659682254744248,844,excellent
4670.8404027912975,20,379.24317404538147,0.4977709402565039,0.9884635381973692,0.33394315903976773,220,0,0,1909.787738008192,24,0.23442572619815702,850,excellent
9947.729605720939,20,1389.3223375844918,0.36279844109869774,0.9430050188530478,0.19143997627138512,171,2,1,1896.1205790634726,6,0.1781133147984492,850,excellent
6846.074985803559,26,699.9108933076293,0.37233279543842046,0.8133826178619473,0.17113938405075038,111,2,3,3008.183062877401,24,0.17076633087535917,800,excellent
2923.078356318001,18,2176.1927350507535,0.17925119716719118,0.7802549349186859,0.17699334023864202,4,0,0,6422.746721286429,6,0.17488710041590855,850,excellent
3061.86979822428,20,4269.1891193481715,0.10443836994000233,0.8698623031874639,0.2476024389842747,228,2,1,1694.420237335237,12,0.10403463239730018,850,excellent
4571.788800716077,21,2858.5045593052187,0.4184658698059689,0.7303574289730711,0.28849765818626005,191,1,0,1679.9692171448448,24,0.23867978536701742,831,excellent
1580.772050912013,20,1580.8517823634336,0.13560078255957925,0.9696412693752415,0.16020613952135676,56,3,1,2154.332177983752,36,0.19071526093510408,850,excellent
2366.002858027422,19,2876.688416875785,0.13593221329301855,0.8658692660942058,0.30461991969001295,11,1,3,2355.852245214416,6,0.19553555540455594,840,excellent
4658.530919365532,18,1356.473783845347,0.3006153056369191,0.9945662483100306,0.11375273733541263,213,3,0,1296.1249775748727,24,0.13214283490242867,850,excellent
3421.5306962436866,23,2053.1316125648955,0.03704676203115413,0.9908371389767171,0.2780928303432033,33,1,2,4091.5055190320163,36,0.15687051639483998,850,excellent
9581.296000458624,17,2239.233759985723,0.46377765406902066,0.9462202831961063,0.11193175120630798,106,1,2,1923.6062930256144,36,0.14002439391380148,850,excellent
2672.5241317379464,21,3021.5530608025315,0.15422952356378383,0.8460378373340658,0.18302361736864672,142,0,1,2386.3363216109838,12,0.20705242279687497,850,excellent
2157.2305104216593,22,1934.1368665719526,0.3030122321006683,0.9920720941998606,0.12712125469061694,235,5,0,7099.167312137721,36,0.12823490260728404,850,excellent
2333.6555102750112,23,1939.9242597058758,0.07484126890760323,0.8008845994968293,0.07427971311914182,69,3,0,2202.829843657973,36,0.11958892067233365,850,excellent
3666.6006873762426,22,3066.4079685703996,0.1210306415875783,0.8989826305578246,0.39552029577983966,154,1,2,6519.558101612666,12,0.1286595298661904,850,excellent
3359.6267380394684,20,1771.491968852513,0.2445686443171456,0.9681048098243933,0.20211166753530677,167,3,0,5604.79241402535,12,0.20882280786107496,850,excellent
11105.323027909142,17,2663.5166352938722,0.07382612783479756,0.9104207331504511,0.2900316300703449,59,2,2,3763.2942022892676,36,0.13977880734309373,850,excellent
2982.2762814181433,14,1761.8491529328114,0.028600599851349197,0.9351080417535308,0.14857467518106277,234,1,3,1864.1474068068144,12,0.21083840765492914,850,excellent
3741.42667540715,18,2164.5255696433355,0.36393615645877037,0.9252450224860719,0.5621655083064706,192,2,0,3807.047020396151,24,0.24777771301234808,849,excellent
5665.162781216017,13,198.47163074296122,0.11055061709362009,0.9590994650064557,0.14264377336080789,12,2,0,1296.9301421141113,36,0.12466009585151049,850,excellent
3449.586746848223,23,1995.4655701973707,0.2664938497975631,0.9387601678962968,0.17482824616380796,49,1,1,962.8935148609357,36,0.12001895231197529,850,excellent
4806.879942982243,23,3270.9280562435642,0.2064881281478234,0.9324910228037636,0.3979510160908539,146,0,3,1788.3599300879107,18,0.17058175184452373,850,excellent
4435.755891440199,16,3495.3805956696224,0.3284009218552683,0.8534252667626651,0.023938101569096436,198,1,1,1206.7192203200918,18,0.1433136140339272,850,excellent
5533.647777514908,32,4059.635521466954,0.37017723645850814,0.9877989870389157,0.13702770443129614,21,3,2,1194.180548007609,18,0.17839819775727273,850,excellent
1800.9343900910883,21,5223.863196453075,0.3347461049165025,0.9853158718670829,0.13172255780925254,62,0,0,2120.5454368123087,6,0.12864752464290077,850,excellent
5453.0191503773685,13,1171.043398548875,0.3369081910925849,0.9218767411647435,0.2615512740827063,82,6,0,1988.512603948047,6,0.11679771994217797,850,excellent
3397.7141567943863,13,2248.290471569072,0.10652199491108676,0.9795393017501065,0.08187973429742415,221,0,1,1546.265321457715,12,0.21402963774288475,850,excellent
3998.1590340343696,33,1929.3944792268605,0.2830079813614869,0.9569058880590552,0.09225079775085543,118,1,0,4992.973783863823,24,0.13356555363611178,850,excellent
3000.9102318382375,25,2334.2076553983075,0.16331447675639205,0.798145353960136,0.08468399015731737,179,2,1,8077.099492886714,18,0.11058271084934403,850,excellent
8345.889030189313,21,3731.721715946,0.09253406660036594,0.9375063174730103,0.11689193420293632,32,0,2,12312.952132373903,24,0.16665246147308171,850,excellent
1308.2758894789242,16,814.3540206103999,0.48446800021545655,0.9275938976370915,0.08381142432379043,95,2,1,424.80666258717446,36,0.12091531451788405,848,excellent
7329.470047495088,20,413.99743312375745,0.3249391141878884,0.9866297932184291,0.19772389262362794,144,6,0,1492.413025166846,24,0.2450021258073147,850,excellent
2592.8072276256294,21,3441.0380735826648,0.14799369185053832,0.6352709601454413,0.08706247121569421,142,2,0,5008.075803539919,36,0.19766410884587052,836,excellent
7820.412388865739,24,1818.2542903852568,0.40885751515272845,0.8664641949699764,0.04499364768530446,19,1,1,1986.1090531521602,18,0.18284730471319757,783,excellent
6704.9945415351685,15,678.0010419690464,0.3579687353892382,0.8836629108895908,0.3651635348768554,226,3,0,3786.840672896737,24,0.21346399679155056,850,excellent
6048.06858792632,21,595.7368581369507,0.2569762824084856,0.9901926546741482,0.18248420227095158,137,1,0,4235.601959425859,12,0.22490629308119534,850,excellent
5508.595619547269,14,1492.899680716791,0.28081760629594177,0.8806287126358061,0.3126521100246701,56,3,0,5235.548847539821,12,0.14706890933874145,831,excellent
