days_until_expiry,voucher_value,redemption_history_rate,beneficiary_engagement,notification_responsiveness,expiry_risk,will_expire
8,1000,0.8747941614113246,0.5976544110913324,0.24081231233915976,0.5702773259819796,0
7,3000,0.7825525040766783,0.5164457112284437,0.7235500547618566,0.4636188740925022,0
8,1000,0.6968707792095845,0.46836235409063254,0.49160276038351136,0.6485363911883113,1
9,1500,0.8659609038902392,0.4817137340065279,0.5693648814222886,0.5619823583559677,0
9,1500,0.46908993451401854,0.7568765754835306,0.370231782132083,0.6174121833831411,1
52,1500,0.8674026666745218,0.6145375364901007,0.5926399564564108,0.31980433125768176,0
17,1500,0.5262408830617794,0.5159545429807262,0.24970384684561794,0.6738270245377114,1
24,1500,0.7028534332655232,0.29438363289039193,0.5699597898303002,0.46229623859931607,0
17,1000,0.7106332492987286,0.584943543433165,0.6840778439382563,0.45299025123617226,0
8,1000,0.6205343333723243,0.685400255459671,0.5062864067938531,0.976467585144861,1
8,3000,0.6333211285232087,0.8249113988570439,0.49422848733801983,0.6380243345258261,1
46,1000,0.5629297915053937,0.8043943855060971,0.42613495189232353,0.2552553972619546,0
50,1500,0.32947737168055563,0.5852384177913366,0.7077055357741068,0.3078313872163986,0
56,3000,0.6408804985501397,0.6571285851181822,0.599256759085912,0.030478390533808686,0
51,500,0.7930742630896664,0.42993632289092176,0.49421360212640086,0.22141764871304842,0
27,3000,0.7272396433106192,0.6987917810481006,0.5606692284117969,0.2660049928810442,0
51,1500,0.5327278377250689,0.670994364115936,0.7182110659067177,0.2589884592634357,0
44,1500,0.4992518308492826,0.6011134619163263,0.3243764536189071,0.40154351636748203,0
2,3000,0.8009436995328146,0.42487719670306145,0.45110884783425786,0.8138515161994511,1
24,1000,0.6862539720285771,0.6523154889768574,0.6576442646538736,0.4627934835421943,0
53,1500,0.854555377186831,0.581252611165316,0.6315839021529368,0.24483359629335613,0
9,1500,0.28926737442844086,0.678277480219449,0.6929985973631114,0.6198311223759565,1
42,500,0.7509922197130211,0.6043937540069568,0.6141008994074852,0.3958206183940956,0
51,1000,0.7081213484621416,0.7933112000879466,0.41475667549679723,0.28977895688340666,0
42,1500,0.8944737502167495,0.25534621679376623,0.4609691616938,0.3991072507218947,0
2,1500,0.613352310454104,0.7065194129727743,0.5989768296713788,0.5497242414887802,0
54,1500,0.2683222681806244,0.8099839466715779,0.4742408549318963,0.41842122076828786,0
49,500,0.7175174532744865,0.873579691724169,0.5669704594874918,0.20938788052795215,0
10,2000,0.5710973863438815,0.46741641927102917,0.3601334748077842,0.6628904814405103,1
29,2000,0.6403393672282459,0.871456106154843,0.5604455454217276,0.46280222164093204,0
35,2000,0.6986250620493212,0.5324898136731974,0.5966955181083745,0.3638476204692797,0
1,1500,0.6853092153481142,0.6850392935426266,0.5184108742540028,0.7248046481603997,1
3,1000,0.9049744140498285,0.7438973206839476,0.6297846583475706,0.5629744759567493,0
47,1500,0.8278700866881924,0.46658164637105853,0.6522617698353912,0.2346760371968732,0
32,1000,0.7474473459943151,0.6930636078659277,0.48648501645800496,0.47396757052024524,0
18,1000,0.7046517352857702,0.48964359212667613,0.4395517132605548,0.429723154956903,0
5,2000,0.7083517789360924,0.8190417956889572,0.5807556446338014,0.6702734272098153,1
36,2000,0.5937149013471608,0.8198821183909589,0.47676237925721443,0.3395934239824919,0
53,500,0.73842074020896,0.4151268713083684,0.48857486212615986,0.5078593454141096,0
38,1000,0.5760604109638832,0.4311895813209136,0.48555797314674226,0.3414668786523288,0
10,3000,0.7792409565782736,0.3839370839913264,0.7213747985803491,0.5049774018800002,0
58,1000,0.710908593600733,0.6487492096186948,0.8795944203363115,0.1626194747894722,0
7,3000,0.8491975801468151,0.6438899043618852,0.5225121976852698,0.6348534824079718,1
23,2000,0.7618811748341261,0.8003302104737113,0.8198866514314219,0.49957663573236777,0
16,2000,0.731499211388942,0.5794697169628977,0.7006479777731223,0.6414609065370178,1
34,2000,0.6904582204665894,0.7621153902259091,0.39529948600541226,0.5336525980022974,0
28,3000,0.5621211105714474,0.6284526328090699,0.6591026070558499,0.304261898646479,0
22,1500,0.39519413824015115,0.6236775721049396,0.4389694090216622,0.579187388744503,0
20,500,0.5638543973433683,0.5433134763631252,0.5859462779039145,0.4790245348350919,0
44,500,0.6912669515042759,0.6931507317620942,0.3329523738440406,0.3451800708111134,0
11,500,0.7608789101879685,0.5294174356660983,0.4649435063198718,0.7062264377203786,1
58,2000,0.8130578153072492,0.5943431550785996,0.7715636343362038,0.16824900015420982,0
43,3000,0.39310095061720884,0.7827616590365136,0.542222917772029,0.2514946428413905,0
57,1000,0.7450059137958084,0.7034928255529415,0.6071047779022781,0.14616004133279098,0
44,2000,0.8886443992700058,0.6755416217321532,0.6014358891473182,0.19581730225072363,0
42,2000,0.6324040272702367,0.7273179973761801,0.5601390619748012,0.37286234763694404,0
14,1000,0.6007876502130516,0.8051733191480558,0.7375976528101686,0.36699210580671926,0
5,2000,0.7835760436008035,0.3565053219069049,0.48210257169979864,0.46394871531503795,0
4,1500,0.8931895098641127,0.6514471488989362,0.648472963003105,0.30584188956559843,0
22,2000,0.7985275467658954,0.56316260639314,0.545023217072647,0.50253206695703,0
23,3000,0.8545618636935525,0.44247470443881537,0.7837442387970863,0.4288291479378566,0
37,500,0.20053476621603064,0.917140643395876,0.456587599786105,0.49495800949102553,0
45,3000,0.6829711845353694,0.8429601050455916,0.53366595851954,0.18647905764674547,0
32,500,0.9579036239360464,0.6513477212205654,0.48542804836137887,0.38275173040297583,0
27,1000,0.8833941730484004,0.5438256072015798,0.6949149606327438,0.3556196572720653,0
52,1500,0.696580516866971,0.6267379998649644,0.4201532976233141,0.385019159840428,0
34,3000,0.6623135523960167,0.828522430543126,0.7162317742017441,0.3571089877693248,0
59,1500,0.5551715265301465,0.7394581125406959,0.5403802691381457,0.1760537031817957,0
21,1000,0.8794051408436349,0.5530260648423797,0.5159711753561443,0.4179625215156365,0
53,1500,0.7738267497371561,0.592571575995362,0.3690538361718705,0.36007773185256864,0
29,3000,0.3465807510666049,0.37148073804510506,0.3649201875163856,0.5357609028271342,0
12,500,0.7450735162269645,0.8196182282079316,0.5854063328129531,0.3719033430624839,0
3,500,0.7333956054678628,0.4908131939960674,0.4694625342020764,0.8093270187166302,1
35,1500,0.5567019960511471,0.8097268568450403,0.10311547115853033,0.3710623712307559,0
17,500,0.5193321640241187,0.6271764321157204,0.6977752103085769,0.49616617605678753,0
28,1000,0.5682616014522834,0.305866290625529,0.46120850752349996,0.5328152405198903,0
10,500,0.683432492310246,0.5074620615928449,0.5559359508312692,0.5735319806024237,0
32,3000,0.7965985023663668,0.3658247781322674,0.4207022523216664,0.47093550062776524,0
59,1500,0.6572738249035449,0.5124517607232902,0.686107197927526,0.2289486927848701,0
17,500,0.703396996779524,0.7734295231129762,0.7345712167031071,0.4417896187792428,0
34,1000,0.7861238081902063,0.2666398007495759,0.7561966812180572,0.3822674770820608,0
57,1500,0.9212407811729223,0.603373001921698,0.6109364466467716,0.28931852845629213,0
37,500,0.7916176165583361,0.43244969574148306,0.5843454598567004,0.45122551785635645,0
32,1000,0.33653787310096867,0.824691140523607,0.5495359318166986,0.46513034988101737,0
49,3000,0.7941904181941153,0.7455306933495318,0.3626414593711265,0.2182164723504073,0
16,1000,0.8209278542986645,0.2350745120194948,0.6140648878361902,0.6783710884924908,1
57,1000,0.6813260462944668,0.45619236055181417,0.440237284360352,0.4199231392220355,0
26,2000,0.6463791846559488,0.48100193310709966,0.590054018247175,0.5248711888498903,0
27,3000,0.8833252778042383,0.21145457120558203,0.5220118180792921,0.5675520432433399,0
32,2000,0.43229807818417193,0.657378469691542,0.4921890469979428,0.8167385930008552,1
7,1000,0.7463619241285855,0.8227887172229538,0.6685174374365284,0.4745305586489426,0
7,1500,0.6933468034053729,0.5991037876127938,0.748599443631745,0.5238869027581586,0
27,3000,0.9002561033018592,0.5255520569944595,0.3730723289309092,0.379691838900707,0
26,1000,0.6451518851228559,0.36208136096562155,0.6363552387176844,0.6309981741202679,1
22,500,0.3638551195095508,0.7158680049310376,0.7788202690791707,0.48908403642580806,0
51,500,0.6969790077479929,0.3337091227454869,0.3392834537386938,0.2818527490457762,0
51,500,0.8344481388654893,0.5538962315786431,0.3983822801142804,0.22528263037358826,0
26,3000,0.8109323779693832,0.6386384469499403,0.559835923182722,0.423940366329164,0
51,1000,0.9198752228360879,0.42267437793224455,0.41572527336885917,0.37994498559435147,0
9,3000,0.7049388456589236,0.7270338543400522,0.5552913560651251,0.6028108165220747,1
25,2000,0.730352900993627,0.7764869276709353,0.7307344313967162,0.3732624906173877,0
13,1500,0.8176513676294803,0.7774135348940792,0.45071345668763224,0.6077738505728237,1
13,3000,0.6387180289810507,0.7226282110781127,0.47199192437606396,0.5677156965753847,0
54,500,0.6179085017144369,0.7628520610973852,0.32988361732792576,0.245180836345054,0
57,1500,0.75715009567719,0.6941106948288945,0.3553632224988362,0.11067861531930753,0
33,1000,0.6371942206647293,0.4783764176394311,0.6286730100565071,0.4343865183399637,0
37,2000,0.7363714663831735,0.7193459403234813,0.27943696298697046,0.5479906058113756,0
30,2000,0.8630203123332996,0.5831394979821368,0.5326851482602405,0.47892479941818783,0
29,2000,0.7328290722377074,0.6549179877116835,0.3427315592944254,0.39419393857824014,0
29,1000,0.8103178241725674,0.8112368890943387,0.4637300214958718,0.4618115110127772,0
21,1000,0.8635471244197154,0.6325034991924385,0.6564312158190375,0.43222538527188326,0
14,500,0.8288113088213546,0.6103889989551025,0.5727700434990186,0.4841645257636202,0
39,3000,0.48917502729528145,0.4745804130140126,0.5641695790662308,0.2993515389119134,0
24,1500,0.8139867755958634,0.6264302871334926,0.5348648715648046,0.5591933285817287,0
28,1500,0.8162105672307374,0.383900810492451,0.7595356580985354,0.43217582747653316,0
21,500,0.3974888324911605,0.36391757078065456,0.6152004408243299,0.5796799615180548,0
57,3000,0.6309105924734828,0.6933655066065828,0.20037181514876692,0.33294921053840226,0
46,500,0.6377784249271657,0.5981983029901988,0.5486794026205996,0.3100120819301493,0
18,2000,0.8243769534952858,0.5833433336209264,0.6192440089506143,0.5603848544496991,0
24,3000,0.6977886736333081,0.6291585890196224,0.4922518691109869,0.6496489799753674,1
57,1000,0.8252914750901257,0.6563586631886996,0.5955639213178189,0.21107547086288492,0
28,1500,0.7739755859697128,0.6673685686789237,0.5608890615704502,0.21443920508653103,0
14,1000,0.7483033977211881,0.38570117964334527,0.547886521191615,0.5654318808222547,0
42,3000,0.7969657489042907,0.754987074170081,0.5983629405105179,0.2030091160428019,0
9,2000,0.8150049809515655,0.620191582792298,0.5665263156220821,0.5112416525101664,0
58,1500,0.6590478303747005,0.6158691402930809,0.6310127982996241,0.29646567593192413,0
