amount,hour_of_day,day_of_week,transaction_frequency,avg_transaction_amount,distance_from_home,device_score,account_age_days,num_failed_attempts,velocity_1h,velocity_24h,merchant_category,country_risk_score,is_fraud
5799.100525584094,8,6,4,523.4016738797158,1.441723445858473,0.9146028698778451,599,0,2,5,5411,0.08760795957869111,0
70.49351443212818,21,1,3,143.00312269711478,4.401875834780748,0.9020768666786393,919,0,5,5,4111,0.15897848304502873,0
160.90591972606055,10,1,7,209.1816175750781,4.429577479741105,0.7732639791394008,1189,0,0,4,5812,0.242103828971572,0
245.16779106608277,8,6,3,323.75286128748576,1.5038997076937988,0.9677039510356766,547,0,0,10,4111,0.22593267584056032,0
888.2023651609879,8,1,3,279.7754508325247,4.175748549584405,0.7551467604875262,703,0,1,15,4111,0.09292566454248727,0
80.55435027721899,13,5,11,92.25327454035498,2.2835417027433964,0.6800083189011503,1040,1,0,5,5722,0.07505749629683699,0
324.6466855922767,16,4,8,239.74696228700415,12.860686880591254,0.6479551222401793,718,0,1,7,5722,0.28568996301390664,0
292.75828644061073,9,5,3,21.27641203208244,15.593575061820715,0.8664167520171351,37,0,0,10,5812,0.10401105361531791,0
555.4923762156631,11,3,5,831.889983068202,5.408980585201728,0.9701079537261386,712,0,2,6,5499,0.26115778634587034,0
228.91316999513137,19,0,4,142.7555922131806,2.05550621475541,0.7286016497222143,1195,1,3,6,4111,0.16557240666777795,0
2011.3689481825443,14,5,5,206.45367339467538,17.017388733491387,0.6049020104669007,364,1,0,7,5411,0.31408514756934647,0
425.51220808597446,9,2,3,1107.2974139932664,14.895563159892923,0.9083996248015649,659,0,1,9,4111,0.004921414951986333,0
57.99342731047291,12,0,6,387.4810865278939,2.7762014035525553,0.7981301705094347,1292,0,2,15,4111,0.1283021054901037,0
947.5576125617963,9,2,5,252.75516971408103,2.758268064081197,0.6857654769506439,772,0,6,5,5812,0.09727327320351768,0
377.20072383378374,19,4,5,56.287251849593645,11.192578254725138,0.8914335634755288,265,0,5,4,5411,0.19954490011785175,0
84.02390685245764,17,5,3,223.52409000176505,2.660963425905342,0.7870645132188978,82,0,2,12,5812,0.0850367213079875,0
522.8728089309836,17,3,6,186.2988832625043,11.885142507142803,0.9408803286530683,466,1,6,6,5411,0.012726748103170586,0
312.0198138048535,4,2,20,150.20922357641206,54.1676165272803,0.047494487240888394,81,3,7,25,5999,0.38622930888430673,1
394.96240730884807,6,3,1,211.21908972603265,5.000312926264979,0.8813869310093568,835,1,2,8,5722,0.19617519542858988,0
412.8718092926999,20,4,4,469.1440349597895,8.16722840706225,0.7835527045991144,259,0,2,1,5722,0.1729299311597324,0
291.1548998658991,1,3,13,64.99307351259014,57.29270256278496,0.3906657128390303,15,3,9,27,6211,0.4414565522942186,1
739.5043276838712,19,6,7,76.31239139668806,7.784952935381882,0.9818946399202951,938,0,0,8,5411,0.17258843879507232,0
649.8730474752077,7,4,7,73.22340102245276,4.975112151811906,0.9146147562056269,126,0,2,11,5812,0.5551303820290256,0
1157.7670674942021,7,5,3,504.03824902412623,2.6667307771222544,0.8758238263723502,1651,0,1,5,5812,0.1316784051900109,0
