voucher_age_days,initial_amount,remaining_amount,beneficiary_count,prior_redemption_rate,merchant_availability_score,redemption_rate
11,500,74.45842692761539,0,0.7781233677722905,0.89048487660745,0.8147134193760072
3,500,460.4300684858993,0,0.9656889450569662,0.8558671410175649,0.9001506780090719
28,500,1784.912281163591,2,0.7119402808621019,0.8931579461303291,0.6936589556601871
0,500,1695.094577174543,0,0.9777111085568795,0.7494460182602355,0.9546072799396259
29,500,565.4361755268332,2,0.6451181756879416,0.8336143458305951,0.661917790481212
21,1500,1347.0674944536274,0,0.8127804635346895,0.6899282412509796,0.7207009196117271
3,500,1147.265499764411,0,0.689685707217255,0.6808851554105713,0.7416563941053543
4,2000,1755.066141408185,2,0.9615882497601442,0.8660025712048548,0.8814898890231997
25,500,1168.613571750791,3,0.8013621087898478,0.7070861956354634,0.575739391555396
24,1000,1030.4187857078525,2,0.7477315666286244,0.9002930388863699,0.6370310385020234
15,1500,897.0617492128923,0,0.8537953676725176,0.712918014007014,0.5306929584932272
1,2000,1672.842845015049,2,0.8540667782335359,0.7151726891333752,0.8553337931006076
14,1000,1683.6906433683787,4,0.7898548781211712,0.7273292274685279,0.757781729534473
21,2000,1412.777195455587,0,0.8157991664349816,0.685967159827506,0.7228155693432273
25,500,180.510768341962,0,0.7368018947860427,0.7065889323075126,0.6726121530697372
22,1000,348.3158732460498,1,0.955891051449762,0.7143597498709787,0.6518136018468373
8,1500,714.4130836252926,1,0.9355499752879143,0.8947425384058707,0.8749443677153399
23,1500,1782.3287273681833,1,0.7957158804995011,0.5552278462163238,0.4376076251697798
14,1500,666.234791491717,3,0.7417494412989446,0.9386290205834191,0.5675576297536774
8,500,735.6075515645948,3,0.7875291093714588,0.6643141681905163,1.0
21,1000,840.6464396530671,1,0.5939711192741466,0.49635272373294004,0.34799739631561244
12,2000,106.47325961391884,1,0.9037530385219309,0.7212410765430686,0.7120975272656196
2,1500,1113.1383485032754,0,0.49243069563670055,0.7534857612741972,0.583445295681813
28,1000,550.9159514099744,1,0.8046756718184943,0.4850139798946833,0.30147157367649
24,1500,265.2273516993713,2,0.3960811151456651,0.5807547143971457,0.40534300524760125
12,1000,1852.377420954191,2,0.5051942919102164,0.7671257436169637,0.605474192793528
17,2000,1606.4174310397896,1,0.9112944727408551,0.8139388611597134,0.7922022617897557
6,1500,1867.291671279669,1,0.5604566190895647,0.7992606792473455,0.7160991917439984
4,1000,1893.4369638798084,0,0.9615126271252321,0.49568332410745936,0.8340390080983426
14,2000,1558.2211816815561,1,0.9069669585404009,0.4981403464534552,0.5109820834120283
24,500,703.03708784227,2,0.8907711476536669,0.692297572761205,0.5531734573057674
14,1000,1978.964984174953,3,0.8351474805425596,0.83601039571602,0.6345871453299187
10,2000,1866.8588607804097,1,0.6901918568452723,0.6777826774358384,0.6559621650174151
4,2000,1452.0829013649393,2,0.760420474733972,0.8078597320235958,0.7297176570113234
22,1000,86.58760492032047,0,0.6441080073968332,0.8625533514186511,0.6546062930779297
4,2000,1069.0710478230596,2,0.8063864785302148,0.8337568088013205,0.7131847483825575
25,500,1551.2208835867823,1,0.44003975079790486,0.6964429863600813,0.5242893826320255
29,1500,1827.8473195900074,1,0.7493382007696439,0.3846792106114379,0.4055192620034141
15,500,780.4654337743211,0,0.7255420688994285,0.6465467901744621,0.6227816032208507
17,500,500.42726262423054,2,0.8952499500122807,0.815118313554561,0.7122595246576301
6,2000,795.132782221353,2,0.8613712044109727,0.7826349025793002,0.7591847496667256
12,2000,1409.5203426880764,1,0.6963589779311404,0.7303164316428213,0.42899986897245
10,500,332.1803784389148,1,0.8329037760088093,0.7594830852553797,0.7163032257657527
11,2000,832.3806504160691,2,0.8071538249630489,0.48451956528118756,0.6406284974720572
8,2000,1104.6883048160068,2,0.6484835146938647,0.8611655699353095,0.6516681485183325
8,1500,1322.095261603921,1,0.8214569274145149,0.8218276772727017,0.8188663817460984
17,2000,1304.1692138012522,1,0.551913306073083,0.589680462626144,0.6275392505004419
13,2000,309.59404315235673,1,0.7021437313185659,0.6012995306018372,0.3956321830163261
27,1500,1681.9891603523579,1,0.743360979702146,0.41590984942169407,0.38809486076199495
11,2000,18.867734715839248,3,0.6523351105804192,0.6609830499376738,0.5509089136153899
